Size,Insertion/Deletion Frequency,Search Randomness,Search Prediction,Data Structure
45936,0.957,0.347,229,HASH_MAP
10512,0.219,0.469,216,SEQUENCE
11184,0.466,0.101,146,TREE_MAP
22416,0.934,0.293,418,SINGLY_LINKED_LIST
192,0.8,0.207,2,SEQUENCE
43056,0.897,0.148,474,HASH_MAP
14256,0.297,0.424,207,HASH_MAP
3696,0.154,0.127,49,HASH_MAP
336,0.875,0.405,1,SINGLY_LINKED_LIST
4272,0.089,0.192,13,TREE_MAP
19632,0.818,0.367,376,HASH_MAP
22896,0.477,0.188,169,HASH_MAP
14256,0.594,0.275,13,SINGLY_LINKED_LIST
5808,0.968,0.419,57,SINGLY_LINKED_LIST
10416,0.434,0.098,21,HASH_MAP
3312,0.552,0.385,47,SINGLY_LINKED_LIST
20592,0.429,0.149,108,HASH_MAP
624,0.52,0.408,2,SINGLY_LINKED_LIST
35952,0.749,0.455,265,HASH_MAP
5616,0.234,0.236,44,SINGLY_LINKED_LIST
8688,0.724,0.227,175,HASH_MAP
6096,0.254,0.29,41,SEQUENCE
3024,0.126,0.198,54,TREE_MAP
42864,0.893,0.239,791,HASH_MAP
47664,0.993,0.145,420,SINGLY_LINKED_LIST
13296,0.277,0.426,21,SEQUENCE
31632,0.659,0.212,644,SEQUENCE
19152,0.399,0.034,287,TREE_MAP
27216,0.567,0.052,366,HASH_MAP
7728,0.322,0.03,78,SEQUENCE
1872,0.78,0.12,5,SINGLY_LINKED_LIST
5232,0.545,0.281,24,SINGLY_LINKED_LIST
3456,0.576,0.045,66,HASH_MAP
14736,0.614,0.229,152,SEQUENCE
6192,0.516,0.132,103,SINGLY_LINKED_LIST
46896,0.977,0.364,136,SINGLY_LINKED_LIST
192,0.16,0.406,4,SINGLY_LINKED_LIST
14736,0.307,0.225,38,SINGLY_LINKED_LIST
7056,0.735,0.056,124,SEQUENCE
1296,0.027,0.22,17,SINGLY_LINKED_LIST
432,0.9,0.129,1,SINGLY_LINKED_LIST
47952,0.999,0.037,781,TREE_MAP
11664,0.486,0.007,10,HASH_MAP
4272,0.356,0.206,38,SINGLY_LINKED_LIST
34224,0.713,0.158,548,TREE_MAP
29808,0.621,0.158,214,HASH_MAP
144,0.06,0.244,2,SINGLY_LINKED_LIST
14352,0.598,0.139,75,SINGLY_LINKED_LIST
10704,0.446,0.21,139,HASH_MAP
18192,0.758,0.156,19,SEQUENCE
29328,0.611,0.343,353,SEQUENCE
7728,0.644,0.183,35,HASH_MAP
528,0.055,0.263,6,SINGLY_LINKED_LIST
8592,0.358,0.255,90,HASH_MAP
44016,0.917,0.444,550,SINGLY_LINKED_LIST
5808,0.968,0.212,10,SINGLY_LINKED_LIST
816,0.425,0.008,13,SINGLY_LINKED_LIST
19056,0.794,0.189,188,SINGLY_LINKED_LIST
11376,0.474,0.439,214,TREE_MAP
5808,0.605,0.355,10,SINGLY_LINKED_LIST
21552,0.449,0.144,296,SEQUENCE
8784,0.915,0.398,144,SEQUENCE
4368,0.091,0.162,89,SEQUENCE
9264,0.193,0.194,140,SEQUENCE
6384,0.266,0.388,94,TREE_MAP
44112,0.919,0.13,568,SINGLY_LINKED_LIST
45168,0.941,0.22,165,HASH_MAP
41904,0.873,0.478,589,HASH_MAP
5952,0.992,0.232,35,SINGLY_LINKED_LIST
336,0.07,0.183,6,SEQUENCE
48,0.008,0.447,1,SINGLY_LINKED_LIST
7536,0.785,0.425,24,SINGLY_LINKED_LIST
31824,0.663,0.335,276,HASH_MAP
6096,0.508,0.333,119,SEQUENCE
3504,0.73,0.251,49,SEQUENCE
4368,0.364,0.342,27,SINGLY_LINKED_LIST
30768,0.641,0.46,459,HASH_MAP
1488,0.062,0.397,10,HASH_MAP
2832,0.472,0.28,57,SINGLY_LINKED_LIST
12816,0.267,0.476,150,HASH_MAP
1104,0.115,0.291,16,SINGLY_LINKED_LIST
5136,0.428,0.246,100,HASH_MAP
576,0.096,0.084,3,SEQUENCE
36048,0.751,0.354,721,HASH_MAP
528,0.022,0.085,6,SINGLY_LINKED_LIST
144,0.75,0.364,2,SINGLY_LINKED_LIST
4464,0.744,0.419,7,SINGLY_LINKED_LIST
22896,0.954,0.13,216,SINGLY_LINKED_LIST
10512,0.438,0.15,39,SINGLY_LINKED_LIST
28368,0.591,0.147,425,HASH_MAP
31728,0.661,0.142,432,SEQUENCE
7824,0.815,0.028,150,TREE_MAP
44592,0.929,0.405,895,SINGLY_LINKED_LIST
19248,0.802,0.393,384,TREE_MAP
11568,0.964,0.224,214,SINGLY_LINKED_LIST
2256,0.235,0.039,14,SINGLY_LINKED_LIST
9168,0.191,0.27,157,TREE_MAP
17232,0.359,0.105,28,HASH_MAP
3408,0.568,0.395,68,SINGLY_LINKED_LIST
4368,0.455,0.29,40,SINGLY_LINKED_LIST
1488,0.31,0.052,10,SINGLY_LINKED_LIST
10512,0.876,0.026,198,HASH_MAP
5136,0.535,0.169,43,SINGLY_LINKED_LIST
2256,0.235,0.022,40,SEQUENCE
36528,0.761,0.417,63,SINGLY_LINKED_LIST
2832,0.059,0.152,57,HASH_MAP
6576,0.274,0.038,128,SINGLY_LINKED_LIST
144,0.03,0.444,3,SINGLY_LINKED_LIST
46512,0.969,0.407,171,HASH_MAP
8784,0.183,0.155,120,HASH_MAP
9072,0.378,0.254,184,SINGLY_LINKED_LIST
3888,0.324,0.137,35,HASH_MAP
46224,0.963,0.272,505,HASH_MAP
15696,0.654,0.02,45,HASH_MAP
4128,0.688,0.432,73,SINGLY_LINKED_LIST
528,0.011,0.319,9,SINGLY_LINKED_LIST
1152,0.192,0.091,1,SINGLY_LINKED_LIST
5232,0.545,0.388,39,TREE_MAP
10032,0.418,0.35,10,TREE_MAP
96,0.08,0.412,2,SINGLY_LINKED_LIST
18576,0.774,0.272,287,HASH_MAP
96,0.4,0.319,1,SINGLY_LINKED_LIST
1776,0.185,0.175,14,SINGLY_LINKED_LIST
14832,0.309,0.333,49,TREE_MAP
21168,0.882,0.476,148,SINGLY_LINKED_LIST
24816,0.517,0.174,166,TREE_MAP
3024,0.063,0.228,5,HASH_MAP
34224,0.713,0.251,525,HASH_MAP
33456,0.697,0.3,333,HASH_MAP
43248,0.901,0.464,440,SINGLY_LINKED_LIST
8976,0.187,0.454,18,SEQUENCE
144,0.012,0.463,3,TREE_MAP
30192,0.629,0.186,354,HASH_MAP
4752,0.99,0.147,81,SEQUENCE
4368,0.091,0.179,31,HASH_MAP
4656,0.194,0.257,59,HASH_MAP
25104,0.523,0.336,148,SINGLY_LINKED_LIST
2208,0.368,0.401,13,SINGLY_LINKED_LIST
912,0.475,0.363,0,SINGLY_LINKED_LIST
16464,0.343,0.152,182,SEQUENCE
8112,0.676,0.269,3,HASH_MAP
9264,0.965,0.204,118,SEQUENCE
6288,0.262,0.037,44,SINGLY_LINKED_LIST
7536,0.628,0.284,75,SINGLY_LINKED_LIST
16944,0.706,0.441,172,TREE_MAP
3984,0.415,0.287,29,SINGLY_LINKED_LIST
6384,0.266,0.068,63,HASH_MAP
22704,0.946,0.272,20,TREE_MAP
33936,0.707,0.391,426,HASH_MAP
33552,0.699,0.061,103,SINGLY_LINKED_LIST
26928,0.561,0.363,510,HASH_MAP
11664,0.243,0.146,34,HASH_MAP
5232,0.218,0.474,71,SINGLY_LINKED_LIST
4752,0.792,0.275,85,SEQUENCE
26256,0.547,0.148,87,SEQUENCE
16272,0.678,0.238,113,TREE_MAP
7056,0.294,0.019,111,HASH_MAP
29616,0.617,0.095,151,TREE_MAP
20688,0.862,0.26,358,HASH_MAP
6384,0.133,0.123,80,SINGLY_LINKED_LIST
816,0.136,0.095,8,TREE_MAP
26352,0.549,0.305,389,TREE_MAP
4752,0.99,0.215,70,HASH_MAP
23664,0.493,0.054,56,TREE_MAP
3024,0.063,0.255,23,HASH_MAP
4656,0.194,0.118,13,SINGLY_LINKED_LIST
9744,0.203,0.044,182,SEQUENCE
48,0.25,0.459,1,SINGLY_LINKED_LIST
16944,0.706,0.48,189,HASH_MAP
3312,0.552,0.177,36,SINGLY_LINKED_LIST
22032,0.459,0.223,197,TREE_MAP
7344,0.765,0.237,109,HASH_MAP
8976,0.748,0.369,35,SEQUENCE
18288,0.762,0.373,347,SINGLY_LINKED_LIST
17712,0.738,0.177,362,SEQUENCE
9552,0.995,0.058,144,HASH_MAP
144,0.015,0.468,1,SEQUENCE
7824,0.163,0.457,51,SEQUENCE
13104,0.546,0.334,13,HASH_MAP
7536,0.314,0.42,138,SINGLY_LINKED_LIST
18672,0.389,0.16,81,HASH_MAP
43152,0.899,0.035,113,HASH_MAP
36048,0.751,0.025,11,SINGLY_LINKED_LIST
4656,0.97,0.167,47,SEQUENCE
16848,0.702,0.411,172,TREE_MAP
9648,0.201,0.098,44,HASH_MAP
2592,0.432,0.102,25,SEQUENCE
29424,0.613,0.174,214,SINGLY_LINKED_LIST
3504,0.365,0.369,38,SINGLY_LINKED_LIST
35952,0.749,0.321,178,HASH_MAP
7344,0.153,0.087,89,TREE_MAP
15216,0.634,0.001,228,SINGLY_LINKED_LIST
16176,0.337,0.005,253,HASH_MAP
41136,0.857,0.473,853,HASH_MAP
3024,0.315,0.422,3,SINGLY_LINKED_LIST
15024,0.626,0.25,46,SINGLY_LINKED_LIST
336,0.35,0.275,2,SINGLY_LINKED_LIST
47664,0.993,0.239,92,SINGLY_LINKED_LIST
10512,0.876,0.074,90,HASH_MAP
4368,0.091,0.34,85,HASH_MAP
816,0.425,0.344,11,SEQUENCE
3888,0.81,0.027,69,SEQUENCE
9264,0.193,0.029,162,HASH_MAP
1776,0.925,0.031,19,SINGLY_LINKED_LIST
5616,0.936,0.456,17,HASH_MAP
5712,0.595,0.372,73,SINGLY_LINKED_LIST
19632,0.409,0.468,106,SINGLY_LINKED_LIST
22896,0.477,0.465,214,HASH_MAP
672,0.112,0.027,11,SINGLY_LINKED_LIST
2736,0.228,0.472,8,SEQUENCE
5616,0.234,0.476,106,TREE_MAP
21456,0.894,0.264,374,SINGLY_LINKED_LIST
192,0.032,0.048,2,TREE_MAP
144,0.3,0.467,1,SINGLY_LINKED_LIST
3936,0.656,0.188,30,SEQUENCE
27312,0.569,0.348,322,TREE_MAP
22224,0.463,0.181,110,TREE_MAP
21168,0.441,0.28,222,SEQUENCE
1584,0.66,0.256,30,SEQUENCE
37872,0.789,0.057,59,HASH_MAP
13392,0.279,0.455,123,TREE_MAP
192,0.032,0.143,1,SINGLY_LINKED_LIST
21648,0.451,0.016,20,HASH_MAP
2736,0.057,0.232,8,SINGLY_LINKED_LIST
29616,0.617,0.076,137,HASH_MAP
5328,0.444,0.431,72,HASH_MAP
17136,0.357,0.332,139,TREE_MAP
1104,0.575,0.222,16,SEQUENCE
25776,0.537,0.404,333,HASH_MAP
12048,0.502,0.384,41,HASH_MAP
192,0.8,0.008,1,SINGLY_LINKED_LIST
8304,0.692,0.215,72,TREE_MAP
2448,0.255,0.307,18,SINGLY_LINKED_LIST
3984,0.332,0.07,51,SINGLY_LINKED_LIST
18384,0.766,0.025,65,HASH_MAP
33264,0.693,0.323,634,HASH_MAP
24336,0.507,0.062,187,HASH_MAP
10032,0.836,0.041,110,SINGLY_LINKED_LIST
30288,0.631,0.478,105,SEQUENCE
13584,0.566,0.24,125,SINGLY_LINKED_LIST
4896,0.816,0.195,39,HASH_MAP
7152,0.298,0.394,102,HASH_MAP
1104,0.115,0.262,3,SINGLY_LINKED_LIST
5616,0.468,0.179,30,SINGLY_LINKED_LIST
5136,0.214,0.364,3,HASH_MAP
35568,0.741,0.337,427,HASH_MAP
32496,0.677,0.391,129,HASH_MAP
1968,0.328,0.245,40,SINGLY_LINKED_LIST
2928,0.061,0.035,39,HASH_MAP
5616,0.936,0.448,5,SINGLY_LINKED_LIST
20976,0.437,0.161,78,HASH_MAP
5808,0.121,0.381,34,SINGLY_LINKED_LIST
6768,0.564,0.2,66,SEQUENCE
1008,0.168,0.395,10,SINGLY_LINKED_LIST
6288,0.131,0.207,8,SINGLY_LINKED_LIST
38832,0.809,0.104,655,HASH_MAP
18768,0.782,0.464,305,SEQUENCE
41424,0.863,0.06,510,HASH_MAP
4176,0.348,0.455,31,SINGLY_LINKED_LIST
6384,0.133,0.172,107,HASH_MAP
40848,0.851,0.383,166,SINGLY_LINKED_LIST
912,0.38,0.151,11,SEQUENCE
15888,0.662,0.097,304,TREE_MAP
43248,0.901,0.127,640,HASH_MAP
41232,0.859,0.146,662,HASH_MAP
2592,0.432,0.437,50,HASH_MAP
816,0.017,0.334,11,HASH_MAP
47472,0.989,0.2,478,TREE_MAP
16272,0.339,0.006,277,HASH_MAP
20784,0.433,0.405,23,SINGLY_LINKED_LIST
25488,0.531,0.441,62,TREE_MAP
15312,0.638,0.431,171,HASH_MAP
1776,0.74,0.326,27,SINGLY_LINKED_LIST
6672,0.556,0.163,52,SINGLY_LINKED_LIST
12144,0.506,0.346,189,HASH_MAP
1584,0.033,0.376,18,SINGLY_LINKED_LIST
3312,0.276,0.207,46,HASH_MAP
8112,0.676,0.078,72,SEQUENCE
44112,0.919,0.276,534,SINGLY_LINKED_LIST
11184,0.233,0.46,217,HASH_MAP
9168,0.191,0.068,107,HASH_MAP
20592,0.858,0.175,429,SINGLY_LINKED_LIST
4848,0.202,0.226,45,HASH_MAP
10704,0.223,0.054,151,HASH_MAP
11952,0.996,0.154,85,SINGLY_LINKED_LIST
624,0.26,0.186,0,SINGLY_LINKED_LIST
43632,0.909,0.24,275,HASH_MAP
22416,0.467,0.45,335,SEQUENCE
37296,0.777,0.452,532,HASH_MAP
1248,0.208,0.232,17,SEQUENCE
192,0.8,0.304,1,SINGLY_LINKED_LIST
2448,0.051,0.465,21,SEQUENCE
2928,0.244,0.414,22,HASH_MAP
7536,0.628,0.297,145,SEQUENCE
432,0.45,0.209,3,SINGLY_LINKED_LIST
8016,0.668,0.424,20,SINGLY_LINKED_LIST
1248,0.208,0.116,26,SINGLY_LINKED_LIST
16368,0.341,0.083,208,SEQUENCE
42768,0.891,0.313,277,HASH_MAP
20784,0.433,0.387,35,HASH_MAP
3744,0.624,0.367,36,SINGLY_LINKED_LIST
17616,0.734,0.332,212,HASH_MAP
9648,0.804,0.322,114,TREE_MAP
42864,0.893,0.209,238,SINGLY_LINKED_LIST
3264,0.544,0.176,9,HASH_MAP
12336,0.514,0.113,12,TREE_MAP
30576,0.637,0.454,563,HASH_MAP
16368,0.682,0.26,328,SINGLY_LINKED_LIST
2064,0.043,0.261,20,SEQUENCE
43632,0.909,0.065,674,HASH_MAP
41808,0.871,0.246,151,HASH_MAP
816,0.136,0.111,14,SEQUENCE
32976,0.687,0.006,389,HASH_MAP
9072,0.756,0.472,39,SINGLY_LINKED_LIST
3024,0.63,0.362,21,SINGLY_LINKED_LIST
22416,0.934,0.349,385,HASH_MAP
3984,0.332,0.063,2,SINGLY_LINKED_LIST
5904,0.492,0.4,81,SINGLY_LINKED_LIST
18576,0.774,0.036,62,HASH_MAP
1776,0.148,0.05,11,SINGLY_LINKED_LIST
816,0.17,0.25,15,SINGLY_LINKED_LIST
7152,0.745,0.299,110,SINGLY_LINKED_LIST
47664,0.993,0.177,535,HASH_MAP
47376,0.987,0.316,588,SINGLY_LINKED_LIST
22608,0.942,0.311,306,SINGLY_LINKED_LIST
32208,0.671,0.131,372,HASH_MAP
34512,0.719,0.066,318,HASH_MAP
12624,0.263,0.085,224,HASH_MAP
336,0.35,0.066,4,SINGLY_LINKED_LIST
9648,0.804,0.302,52,SINGLY_LINKED_LIST
44304,0.923,0.377,776,HASH_MAP
6384,0.133,0.354,53,SINGLY_LINKED_LIST
3792,0.079,0.078,75,HASH_MAP
7536,0.314,0.245,86,TREE_MAP
33744,0.703,0.447,1,SINGLY_LINKED_LIST
6576,0.274,0.35,78,SINGLY_LINKED_LIST
30672,0.639,0.398,75,HASH_MAP
9552,0.995,0.016,150,SINGLY_LINKED_LIST
3696,0.77,0.124,70,SINGLY_LINKED_LIST
336,0.28,0.043,2,SINGLY_LINKED_LIST
14736,0.614,0.245,200,SINGLY_LINKED_LIST
1296,0.27,0.085,5,SINGLY_LINKED_LIST
29712,0.619,0.044,398,TREE_MAP
2256,0.94,0.319,20,SEQUENCE
10608,0.884,0.062,94,HASH_MAP
4752,0.099,0.271,27,SINGLY_LINKED_LIST
39408,0.821,0.398,4,SINGLY_LINKED_LIST
1056,0.88,0.193,17,SINGLY_LINKED_LIST
1776,0.925,0.015,8,SINGLY_LINKED_LIST
30096,0.627,0.058,233,HASH_MAP
10416,0.217,0.451,46,HASH_MAP
1968,0.164,0.466,3,SEQUENCE
23568,0.491,0.383,228,HASH_MAP
23952,0.998,0.146,279,SINGLY_LINKED_LIST
5136,0.856,0.045,37,SINGLY_LINKED_LIST
47664,0.993,0.445,567,SINGLY_LINKED_LIST
42864,0.893,0.182,656,HASH_MAP
34224,0.713,0.24,188,HASH_MAP
22032,0.918,0.103,239,SINGLY_LINKED_LIST
13104,0.546,0.34,259,SEQUENCE
20304,0.423,0.358,54,HASH_MAP
45744,0.953,0.34,182,SINGLY_LINKED_LIST
10992,0.916,0.356,164,HASH_MAP
11472,0.956,0.005,190,SINGLY_LINKED_LIST
3312,0.552,0.09,26,SINGLY_LINKED_LIST
3888,0.162,0.299,60,HASH_MAP
46032,0.959,0.132,669,HASH_MAP
10896,0.908,0.326,209,TREE_MAP
11664,0.486,0.142,197,SINGLY_LINKED_LIST
3312,0.276,0.276,16,HASH_MAP
1296,0.135,0.422,18,HASH_MAP
3216,0.268,0.087,18,SEQUENCE
43824,0.913,0.393,294,SINGLY_LINKED_LIST
4176,0.87,0.38,50,SEQUENCE
27024,0.563,0.278,553,TREE_MAP
8112,0.169,0.095,112,SEQUENCE
816,0.068,0.014,4,HASH_MAP
2448,0.408,0.198,12,SINGLY_LINKED_LIST
5232,0.109,0.088,82,SEQUENCE
37392,0.779,0.379,172,HASH_MAP
13008,0.271,0.244,134,HASH_MAP
9264,0.772,0.036,156,SINGLY_LINKED_LIST
5904,0.984,0.114,110,SINGLY_LINKED_LIST
7728,0.322,0.467,47,HASH_MAP
7344,0.765,0.053,116,SEQUENCE
816,0.425,0.378,16,SINGLY_LINKED_LIST
45072,0.939,0.123,826,SINGLY_LINKED_LIST
6576,0.548,0.083,13,SINGLY_LINKED_LIST
8976,0.935,0.172,29,SINGLY_LINKED_LIST
20304,0.846,0.355,112,HASH_MAP
3504,0.146,0.226,62,SINGLY_LINKED_LIST
20208,0.421,0.422,127,TREE_MAP
9456,0.197,0.433,186,SEQUENCE
10224,0.852,0.401,170,HASH_MAP
37488,0.781,0.152,210,HASH_MAP
4176,0.174,0.144,36,SINGLY_LINKED_LIST
14352,0.598,0.182,203,TREE_MAP
1584,0.132,0.333,30,SINGLY_LINKED_LIST
37584,0.783,0.459,350,HASH_MAP
336,0.014,0.472,2,SEQUENCE
4176,0.087,0.186,55,SINGLY_LINKED_LIST
18384,0.383,0.303,138,HASH_MAP
96,0.4,0.415,1,SINGLY_LINKED_LIST
5856,0.976,0.287,36,SINGLY_LINKED_LIST
17712,0.369,0.339,174,SINGLY_LINKED_LIST
2256,0.47,0.048,9,SINGLY_LINKED_LIST
17424,0.363,0.4,359,HASH_MAP
13104,0.273,0.027,235,SEQUENCE
34224,0.713,0.404,228,HASH_MAP
23376,0.974,0.222,58,TREE_MAP
48,0.025,0.379,1,SINGLY_LINKED_LIST
5808,0.242,0.03,98,HASH_MAP
23088,0.481,0.151,230,HASH_MAP
3504,0.292,0.023,61,SEQUENCE
5856,0.976,0.28,28,SINGLY_LINKED_LIST
144,0.006,0.239,1,SINGLY_LINKED_LIST
17424,0.726,0.116,341,TREE_MAP
30192,0.629,0.133,573,SEQUENCE
7728,0.161,0.206,96,SEQUENCE
31824,0.663,0.415,602,HASH_MAP
9456,0.788,0.46,42,SINGLY_LINKED_LIST
28176,0.587,0.338,447,TREE_MAP
38064,0.793,0.446,138,HASH_MAP
40176,0.837,0.115,381,HASH_MAP
27408,0.571,0.345,277,HASH_MAP
20112,0.419,0.01,233,HASH_MAP
6288,0.655,0.3,15,SINGLY_LINKED_LIST
144,0.12,0.208,2,SINGLY_LINKED_LIST
7056,0.735,0.126,47,HASH_MAP
816,0.034,0.171,0,SINGLY_LINKED_LIST
1296,0.027,0.439,4,SEQUENCE
23472,0.489,0.272,150,HASH_MAP
1968,0.82,0.376,19,SEQUENCE
1056,0.88,0.32,8,SEQUENCE
2832,0.472,0.38,46,HASH_MAP
4032,0.672,0.305,61,SINGLY_LINKED_LIST
36432,0.759,0.03,133,SINGLY_LINKED_LIST
18768,0.391,0.213,293,HASH_MAP
47664,0.993,0.1,773,HASH_MAP
144,0.15,0.313,0,SINGLY_LINKED_LIST
1584,0.33,0.144,12,SINGLY_LINKED_LIST
48,0.05,0.075,0,SINGLY_LINKED_LIST
5136,0.856,0.327,0,SINGLY_LINKED_LIST
144,0.006,0.465,3,TREE_MAP
22608,0.471,0.476,143,HASH_MAP
24336,0.507,0.319,98,HASH_MAP
29808,0.621,0.265,472,TREE_MAP
6288,0.262,0.456,67,SEQUENCE
31632,0.659,0.052,76,SINGLY_LINKED_LIST
5904,0.492,0.043,55,HASH_MAP
3888,0.324,0.079,9,HASH_MAP
25488,0.531,0.143,165,HASH_MAP
4464,0.186,0.372,74,HASH_MAP
22896,0.477,0.055,174,HASH_MAP
8976,0.374,0.273,10,SEQUENCE
29808,0.621,0.095,283,SEQUENCE
4944,0.515,0.22,96,HASH_MAP
1104,0.23,0.396,12,SINGLY_LINKED_LIST
12816,0.267,0.373,48,SINGLY_LINKED_LIST
1584,0.165,0.102,31,SEQUENCE
40752,0.849,0.423,780,SINGLY_LINKED_LIST
336,0.035,0.372,3,TREE_MAP
41328,0.861,0.384,679,SINGLY_LINKED_LIST
22416,0.934,0.149,348,HASH_MAP
18288,0.381,0.407,127,TREE_MAP
31152,0.649,0.141,599,TREE_MAP
4368,0.182,0.421,13,HASH_MAP
9072,0.189,0.142,75,HASH_MAP
1872,0.039,0.154,39,SEQUENCE
3984,0.415,0.256,63,HASH_MAP
4368,0.728,0.195,43,TREE_MAP
21072,0.439,0.357,411,SEQUENCE
3504,0.584,0.167,38,SEQUENCE
8688,0.181,0.037,40,SEQUENCE
1968,0.82,0.35,38,SINGLY_LINKED_LIST
1872,0.078,0.372,33,SEQUENCE
7632,0.318,0.083,117,SINGLY_LINKED_LIST
8976,0.374,0.164,60,HASH_MAP
1152,0.192,0.169,14,SEQUENCE
3456,0.576,0.202,54,SINGLY_LINKED_LIST
24144,0.503,0.067,493,HASH_MAP
8592,0.358,0.142,100,SINGLY_LINKED_LIST
24432,0.509,0.459,50,TREE_MAP
6864,0.143,0.073,12,HASH_MAP
37872,0.789,0.359,322,HASH_MAP
4272,0.89,0.317,80,SEQUENCE
4656,0.485,0.406,92,HASH_MAP
33648,0.701,0.219,599,HASH_MAP
21456,0.447,0.14,108,SEQUENCE
624,0.013,0.171,2,HASH_MAP
336,0.07,0.383,5,SINGLY_LINKED_LIST
4944,0.412,0.28,24,SINGLY_LINKED_LIST
26064,0.543,0.314,88,HASH_MAP
1488,0.062,0.033,4,SINGLY_LINKED_LIST
25296,0.527,0.109,188,HASH_MAP
13488,0.281,0.358,15,HASH_MAP
3792,0.632,0.043,60,SINGLY_LINKED_LIST
4368,0.728,0.08,65,SINGLY_LINKED_LIST
3408,0.71,0.468,22,SINGLY_LINKED_LIST
3792,0.158,0.005,53,SINGLY_LINKED_LIST
9744,0.203,0.289,166,SEQUENCE
20016,0.834,0.178,48,HASH_MAP
3312,0.276,0.145,56,SINGLY_LINKED_LIST
25296,0.527,0.114,309,SEQUENCE
30096,0.627,0.274,166,SEQUENCE
7728,0.644,0.177,41,TREE_MAP
3504,0.584,0.294,70,SINGLY_LINKED_LIST
20592,0.858,0.333,186,SINGLY_LINKED_LIST
4944,0.515,0.023,51,HASH_MAP
47664,0.993,0.184,104,SINGLY_LINKED_LIST
25392,0.529,0.137,240,TREE_MAP
2064,0.043,0.204,4,HASH_MAP
3456,0.576,0.076,25,SINGLY_LINKED_LIST
37392,0.779,0.33,542,HASH_MAP
3504,0.146,0.154,66,SEQUENCE
4848,0.404,0.189,39,HASH_MAP
2352,0.098,0.177,16,TREE_MAP
4272,0.89,0.245,66,SINGLY_LINKED_LIST
18384,0.383,0.156,361,HASH_MAP
6768,0.282,0.035,140,SEQUENCE
1392,0.58,0.024,8,SINGLY_LINKED_LIST
528,0.11,0.442,4,SEQUENCE
26928,0.561,0.04,249,SEQUENCE
1776,0.037,0.139,3,SEQUENCE
3696,0.077,0.257,44,SEQUENCE
16272,0.339,0.41,230,HASH_MAP
6672,0.139,0.243,84,HASH_MAP
816,0.085,0.352,9,SEQUENCE
42864,0.893,0.262,774,HASH_MAP
6864,0.572,0.022,73,HASH_MAP
9744,0.812,0.185,150,HASH_MAP
1008,0.042,0.006,10,SINGLY_LINKED_LIST
44688,0.931,0.155,575,HASH_MAP
22608,0.942,0.377,400,SINGLY_LINKED_LIST
5952,0.992,0.052,2,HASH_MAP
30192,0.629,0.364,73,HASH_MAP
17328,0.722,0.121,238,SINGLY_LINKED_LIST
30672,0.639,0.432,628,HASH_MAP
1344,0.224,0.191,12,SINGLY_LINKED_LIST
8688,0.181,0.025,20,SINGLY_LINKED_LIST
15792,0.329,0.108,310,TREE_MAP
7056,0.294,0.1,92,HASH_MAP
2448,0.51,0.45,14,TREE_MAP
35184,0.733,0.098,507,HASH_MAP
21744,0.906,0.437,382,TREE_MAP
13008,0.271,0.171,40,HASH_MAP
33264,0.693,0.049,155,SINGLY_LINKED_LIST
3744,0.624,0.167,43,SINGLY_LINKED_LIST
5952,0.992,0.117,10,SINGLY_LINKED_LIST
48,0.04,0.343,1,SINGLY_LINKED_LIST
4848,0.808,0.419,14,SINGLY_LINKED_LIST
7344,0.153,0.167,24,HASH_MAP
4512,0.752,0.099,16,SINGLY_LINKED_LIST
384,0.064,0.039,4,SINGLY_LINKED_LIST
44976,0.937,0.291,534,HASH_MAP
41328,0.861,0.017,222,HASH_MAP
4848,0.202,0.378,83,TREE_MAP
20016,0.834,0.367,158,HASH_MAP
9456,0.985,0.429,30,SINGLY_LINKED_LIST
40272,0.839,0.433,761,TREE_MAP
7248,0.151,0.432,111,SEQUENCE
1728,0.288,0.368,21,SEQUENCE
2832,0.472,0.23,23,HASH_MAP
22512,0.938,0.408,297,TREE_MAP
10128,0.211,0.225,122,TREE_MAP
19536,0.814,0.285,22,TREE_MAP
11856,0.988,0.311,84,SINGLY_LINKED_LIST
912,0.475,0.277,2,SEQUENCE
4848,0.101,0.286,40,SEQUENCE
8688,0.905,0.163,58,HASH_MAP
3696,0.77,0.03,27,SINGLY_LINKED_LIST
40272,0.839,0.012,667,HASH_MAP
5424,0.904,0.069,95,SEQUENCE
9456,0.788,0.232,182,TREE_MAP
21072,0.439,0.469,232,HASH_MAP
8016,0.668,0.069,107,SINGLY_LINKED_LIST
32784,0.683,0.215,546,HASH_MAP
25392,0.529,0.445,153,HASH_MAP
43344,0.903,0.267,550,SINGLY_LINKED_LIST
36528,0.761,0.131,371,TREE_MAP
3648,0.608,0.43,24,SEQUENCE
2352,0.392,0.436,13,SINGLY_LINKED_LIST
5424,0.904,0.406,23,SEQUENCE
1776,0.296,0.081,0,SINGLY_LINKED_LIST
26832,0.559,0.09,289,HASH_MAP
4464,0.093,0.141,2,SINGLY_LINKED_LIST
912,0.152,0.034,1,SEQUENCE
624,0.052,0.285,6,SEQUENCE
10704,0.223,0.268,3,SINGLY_LINKED_LIST
23856,0.994,0.174,372,HASH_MAP
10032,0.836,0.15,167,SINGLY_LINKED_LIST
25872,0.539,0.239,45,HASH_MAP
3792,0.316,0.195,21,HASH_MAP
4848,0.505,0.195,5,SINGLY_LINKED_LIST
